# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 257         4.603       52.506      8.50        Wijk aan Zee
# RH        : Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# STN,YYYYMMDD,H,   RH
  257,20210101,    1,    0
  257,20210101,    2,    0
  257,20210101,    3,    0
  257,20210101,    4,    0
  257,20210101,    5,    0
  257,20210101,    6,    0
  257,20210101,    7,    4
  257,20210101,    8,    4
  257,20210101,    9,    2
  257,20210101,   10,    0
  257,20210101,   11,    0
  257,20210101,   12,    0
  257,20210101,   13,    0
  257,20210101,   14,    0
  257,20210101,   15,    0
  257,20210101,   16,    0
  257,20210101,   17,    0
  257,20210101,   18,    3
  257,20210101,   19,    3
  257,20210101,   20,    0
  257,20210101,   21,    1
  257,20210101,   22,    0
  257,20210101,   23,    0
  257,20210101,   24,    1
  257,20210102,    1,    0
  257,20210102,    2,    0
  257,20210102,    3,    0
  257,20210102,    4,   -1
  257,20210102,    5,    0
  257,20210102,    6,    0
  257,20210102,    7,    0
  257,20210102,    8,    0
  257,20210102,    9,    2
  257,20210102,   10,    1
  257,20210102,   11,   -1
  257,20210102,   12,   -1
  257,20210102,   13,   -1
  257,20210102,   14,   33
  257,20210102,   15,   -1
  257,20210102,   16,    0
  257,20210102,   17,    0
  257,20210102,   18,    0
  257,20210102,   19,    0
  257,20210102,   20,    0
  257,20210102,   21,    0
  257,20210102,   22,    0
  257,20210102,   23,    0
  257,20210102,   24,    0
  257,20210103,    1,    0
  257,20210103,    2,    0
  257,20210103,    3,    0
  257,20210103,    4,    0
  257,20210103,    5,    0
  257,20210103,    6,    0
  257,20210103,    7,    0
  257,20210103,    8,    0
  257,20210103,    9,    0
  257,20210103,   10,    0
  257,20210103,   11,    0
  257,20210103,   12,    0
  257,20210103,   13,    0
  257,20210103,   14,    0
  257,20210103,   15,    0
  257,20210103,   16,    0
  257,20210103,   17,    0
  257,20210103,   18,    0
  257,20210103,   19,    0
  257,20210103,   20,    0
  257,20210103,   21,    0
  257,20210103,   22,    0
  257,20210103,   23,    0
  257,20210103,   24,    0
  257,20210104,    1,    0
  257,20210104,    2,   -1
  257,20210104,    3,    1
  257,20210104,    4,    1
  257,20210104,    5,   -1
  257,20210104,    6,    0
  257,20210104,    7,    0
  257,20210104,    8,    0
  257,20210104,    9,    0
  257,20210104,   10,    0
  257,20210104,   11,    0
  257,20210104,   12,    0
  257,20210104,   13,    0
  257,20210104,   14,    0
  257,20210104,   15,    0
  257,20210104,   16,    0
  257,20210104,   17,    0
  257,20210104,   18,    0
  257,20210104,   19,    0
  257,20210104,   20,    0
  257,20210104,   21,    0
  257,20210104,   22,    0
  257,20210104,   23,    3
  257,20210104,   24,    1
  257,20210105,    1,    0
  257,20210105,    2,    0
  257,20210105,    3,    0
  257,20210105,    4,    0
  257,20210105,    5,    0
  257,20210105,    6,    0
  257,20210105,    7,    0
  257,20210105,    8,    0
  257,20210105,    9,    0
  257,20210105,   10,    0
  257,20210105,   11,    0
  257,20210105,   12,    0
  257,20210105,   13,    0
  257,20210105,   14,    0
